date,power
09-08-18 8:30,653103.6
09-08-18 8:45,598302.6
09-08-18 9:00,655566.6
09-08-18 9:15,664312
09-08-18 9:30,627082.75
09-08-18 9:45,714855.94
09-08-18 10:00,684323.75
09-08-18 10:15,626057.75
09-08-18 10:30,646037
09-08-18 10:45,665391.75
09-08-18 11:00,591220.4
09-08-18 11:15,616849.25
09-08-18 11:30,670927.5
09-08-18 11:45,657919.6
09-08-18 12:00,710787.56
09-08-18 12:15,685527.4
09-08-18 12:30,641148.5
09-08-18 12:45,624332.5
09-08-18 13:00,584267.44
09-08-18 13:15,566638.4
09-08-18 13:30,540894.4
09-08-18 13:45,564703.56
09-08-18 14:00,527715.8
09-08-18 14:15,512259.34
09-08-18 14:30,522005.12
09-08-18 14:45,533158.75
09-08-18 15:00,510053.6
09-08-18 15:15,494467.34
09-08-18 15:30,445347.2
09-08-18 15:45,458081.3
09-08-18 16:00,451127.06
09-08-18 16:15,420358.56
09-08-18 16:30,356632.28
09-08-18 16:45,342503.53
09-08-18 17:00,343096.66
09-08-18 17:15,363757.34
09-08-18 17:30,363017.2
09-08-18 17:45,340912.06
09-08-18 18:00,340914.88
09-08-18 18:15,328202.9
09-08-18 18:30,293935.44
09-08-18 18:45,313534.2
09-08-18 19:00,299511.88
09-08-18 19:15,284907.34
09-08-18 19:30,270198.53
09-08-18 19:45,272930.1
09-08-18 20:00,278164.6
09-08-18 20:15,278661.28
09-08-18 20:30,254789.73
09-08-18 20:45,244090.44
09-08-18 21:00,242725.55
09-08-18 21:15,219666.56
09-08-18 21:30,239913.92
09-08-18 21:45,221239.78
09-08-18 22:00,223726.17
09-08-18 22:15,210269.06
09-08-18 22:30,221982.22
09-08-18 22:45,206125.28
09-08-18 23:00,204502.61
09-08-18 23:15,196308.05
09-08-18 23:30,190652.5
09-08-18 23:45,216116.52
10-08-18 0:00,217515.23
10-08-18 0:15,231466.08
10-08-18 0:30,214995.28
10-08-18 0:45,207219.38
10-08-18 1:00,205566.52
10-08-18 1:15,214788.4
10-08-18 1:30,213486.78
10-08-18 1:45,199244.22
10-08-18 2:00,208668.5
10-08-18 2:15,190289.83
10-08-18 2:30,201123.48
10-08-18 2:45,215542.52
